Source;Target;Weight;Type
bus.Spot@942a29c;bus.Spot@1ed6388a;1;Directed
bus.Spot@5a45133e;bus.Spot@534a5a98;7;Directed
bus.Spot@4f80542f;bus.Spot@60bd273d;1;Directed
bus.Spot@121314f7;bus.Spot@130c12b7;1;Directed
bus.Spot@5e600dd5;bus.Spot@576d5deb;2;Directed
bus.Spot@5d534f5d;bus.Spot@2e3967ea;1;Directed
bus.Spot@70e9c95d;bus.Spot@4d5650ae;1;Directed
bus.Spot@a38c7fe;bus.Spot@6fdbe764;1;Directed
bus.Spot@51c668e3;bus.Spot@2e6a8155;4;Directed
bus.Spot@6221a451;bus.Spot@52719fb6;2;Directed
bus.Spot@3012646b;bus.Spot@4a883b15;2;Directed
bus.Spot@25641d39;bus.Spot@7b36aa0c;2;Directed
bus.Spot@5824a83d;bus.Spot@537f60bf;3;Directed
bus.Spot@5677323c;bus.Spot@18df8434;1;Directed
bus.Spot@65c7a252;bus.Spot@4d154ccd;1;Directed
bus.Spot@229c6181;bus.Spot@4686afc2;5;Directed
bus.Spot@1e0b4072;bus.Spot@791f145a;2;Directed
bus.Spot@38cee291;bus.Spot@4b45a2f5;2;Directed
bus.Spot@f09733f;bus.Spot@e350b40;1;Directed
bus.Spot@41a0aa7d;bus.Spot@2794eab6;1;Directed
bus.Spot@6340e5f0;bus.Spot@45099dd3;1;Directed
bus.Spot@13e344d;bus.Spot@1ffaf86;4;Directed
bus.Spot@6574a52c;bus.Spot@6c1a5b54;3;Directed
bus.Spot@1c7696c6;bus.Spot@60099951;4;Directed
bus.Spot@20140db9;bus.Spot@1e6a3214;3;Directed
bus.Spot@368247b9;bus.Spot@1a6d8329;3;Directed
bus.Spot@1a942c18;bus.Spot@55a147cc;2;Directed
