name,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
JÚLIO DINIS,95,0.0179865557,0.0214860968,75894
SERRALVES,95,0.0233866061,0.0293354009,24365.5833333333
ARREGADAS,95,0.0176487715,0.0204642518,10809
PINHEIRAL,95,0.0182181558,0.021509353,0
ZONA INDUSTRIAL,95,0.0176475858,0.0204628922,27298.2857142857
CASTELO DO QUEIJO,95,0.0234001485,0.0299032371,11465.5333333333
CORDOARIA VELHA,95,0.0229284805,0.0286062034,1585
TORRINHA,95,0.0222708966,0.0265731055,3136
MAIA (ZOO),95,0.0182200745,0.0215130868,135845.714285714
MEIRAL,95,0.0208471124,0.0249746154,41214.2833333333
JOÃO DE DEUS,95,0.0208067214,0.0243609515,1580
FACULDADE DIREITO,95,0.0222715261,0.0265737055,3110
TELHEIRA,95,0.0223438342,0.0269435568,28766.1666666667
R.CRASTO,95,0.0233567988,0.0288326639,42718.8490196078
CORISCOS,95,0.0182534167,0.0231988306,142785
PÍCUA,94,0.0185840291,0.0240635484,142824
OLIVEIRAS,94,0.0228035652,0.0266614211,61653
EXPONOR,94,0.0230210783,0.028710871,83244.2333333333
POUSADA JUVENTUDE,94,0.0239805234,0.0312299176,9269.8166666667
GAIASHOPPING,94,0.0228409107,0.0280893314,28805.1666666667
PERO COVILHÃ,94,0.0238914576,0.0296879378,1926.0333333333
ÁLVARO CASTELÕES,94,0.0244394132,0.030844309,1851
ESC. EB 2/3 S REIS,94,0.0230444992,0.0280204238,12640
CONDE FERREIRA,94,0.0197912873,0.0236878621,42456.3636363636
PAULO DA GAMA,94,0.0239845379,0.0312411752,56060.95
SERRALVES (MUSEU),94,0.0239313644,0.0302970811,6912
LABORIM,94,0.0217532333,0.0258233724,40149
COIMBRÕES 1,94,0.0223039909,0.0259000094,51383.6140350877
MATOSINHOS (CMM),94,0.0247561301,0.0338907618,129369.842063492
HOSPITAL MATOSINHOS,94,0.0244845961,0.0319462926,63788.8055555556
AZENHA DE CIMA,94,0.0227108972,0.0287661061,164408.191391941
MONTE PENEDO,94,0.0179545895,0.0208071071,27337.2857142857
MATERNIDADE,94,0.0227640398,0.0273687924,3149
SEARA,94,0.0193291225,0.0225877845,64208
AV. MENÉRES,94,0.0244416873,0.0308614588,27786.5682539682
LGO.NEVOGILDE,94,0.0239037782,0.0297270296,42757.8490196078
D.PEDRO V,94,0.0230099866,0.0280367562,91882.2859649123
AFONSO  ALBUQUERQUE,94,0.0239357259,0.0303065694,24404.5833333333
TRIBUNAL DE GAIA,94,0.0236939036,0.0310604019,110570.370330237
FLUVIAL,94,0.023451727,0.0299046673,4752
TIMOR,94,0.0239557366,0.0314330858,38240.2
PÊGO NEGRO,94,0.0212353914,0.0249189774,3158
VIELA MEIRAL,94,0.0212806179,0.0257588737,41253.2833333333
MAIA (IGREJA),94,0.018544449,0.0219621396,137461.714285714
QUELHAS,94,0.0179556123,0.0208082607,10848
MEILÃO,94,0.0183068488,0.0219268671,75933
MATERNIDADE,94,0.0227637109,0.0273684859,3175
BARROCAS,93,0.0201774489,0.0242462337,42495.3636363636
31 DE JANEIRO,93,0.0233139543,0.0273209959,61692
ALFREDO CUNHA,93,0.0250656064,0.0331776725,7988
LAGARTEIRO,93,0.0217325354,0.0268862687,41292.2833333333
NEVOGILDE,93,0.0244769907,0.030707306,42796.8490196078
JARDIM ZOOLÓGICO,93,0.0188805827,0.0224566293,137500.714285714
MIGUEL BOMBARDA,93,0.023278829,0.0284345073,7939
SERRALVES (MUSEU),93,0.0245112525,0.0313861095,24443.5833333333
LOMBA,93,0.019682445,0.0230163471,0
ALAMEDA CEDRO,93,0.0222272368,0.0264648255,40188
MAKRO,93,0.0233170587,0.0276911589,24230.1666666667
SENDIM (CEMITÉRIO),93,0.0196965531,0.0230432086,64247
MATOSINHOS PRAIA,93,0.0250476796,0.0319929329,35830.0349206349
FUNCHAL,93,0.0244705298,0.0306868764,1965.0333333333
PASTELEIRA,93,0.0245624425,0.0328742725,66945.7666666667
GOA,93,0.0250779708,0.0337479989,129106.647619048
HOMEM DO LEME,93,0.0245211682,0.0316297038,34816.1666666667
HOSP. P. HISPANO,93,0.0232266812,0.0297390798,164447.191391941
D. LEONOR,93,0.0239553642,0.0297043435,6320
TV. ALDEIA,93,0.0216823765,0.0255183305,4734
BRITO CAPELO,93,0.0250468834,0.0319864251,1890
AFONSO  ALBUQUERQUE,93,0.0245089654,0.0313811971,6951
TRAVAGEM,93,0.0186628141,0.0222210871,49141
REGUEIRA,93,0.0228012558,0.0265152784,51422.6140350877
PALÁCIO,93,0.0232633661,0.0278120163,15068.5
RTP,93,0.0235731454,0.0288894566,14211
PONTE LEÇA (SUL),93,0.0232088948,0.027219619,37143.2333333333
BERNARDIM RIBEIRO,93,0.0216760422,0.0255151046,23021.8166666667
DISPENSÁRIO,93,0.0237736077,0.0287034744,51127.7027863776
ALTO DA MAIA,93,0.0189268386,0.025493401,142863
MIRANTE,93,0.0186387558,0.0224009237,75972
PRIMAVERA,93,0.0182724638,0.0211658846,27376.2857142857
ARREGADAS (VIADUTO),93,0.0182733112,0.0211668246,10887
PARQUE DA REPÚBLICA,93,0.023547693,0.0289798649,91921.2859649123
TV.SIMÕES LOPES,92,0.0190067295,0.0227672579,49180
FACULDADE DE ENGENHARIA,92,0.0237418467,0.0279950206,0
PINHAL,92,0.0186017964,0.021540235,27415.2857142857
REGADIO,92,0.0200782235,0.0235249441,64286
QUINTA SECA,92,0.0237664374,0.0308344758,164486.191391941
CRASTO,92,0.0244994404,0.0306393553,7704.75
ARCO DO PRADO,92,0.0233211992,0.0271668852,51461.6140350877
GODINHO,92,0.0256853222,0.0332769461,39335.0349206349
CRAVEL,92,0.0241269647,0.0298709427,15780
PISÃO,92,0.0186024551,0.0215409533,10926
GANDRA,92,0.0189829202,0.0229163912,76011
CANTAREIRA,92,0.0245277743,0.0307001989,7895
DEVESAS (ESTAÇÃO),92,0.0243393924,0.0295947138,51166.7027863776
JOÃO BARROS,92,0.0251151376,0.0326067635,33009.5833333333
BOAVISTA,92,0.018624625,0.0216598934,0
NÓ FREIXIEIRO,92,0.0238477136,0.0280229265,61731
MOLHE,92,0.0251319587,0.0332950806,34855.1666666667
MOLHE,92,0.0250783699,0.0317931311,46376.8823529412
AZEVEDO,92,0.0221463401,0.0261692553,33641.2833333333
PQ BASÍLIO TELES,92,0.0256815552,0.0332393673,119620.647619048
R. SR MATOSINHOS,92,0.0238589055,0.028473975,24269.1666666667
MOCAMBIQUE,92,0.0241111315,0.0300896759,91960.2859649123
SENHOR MATOSINHOS,92,0.0237488887,0.0279240598,37182.2333333334
VISCONDE BARREIROS,92,0.0192291268,0.0230185982,137539.714285714
PESO DA RÉGUA,92,0.0210884081,0.0251628469,15315
HOSP. STO. ANTÓNIO,92,0.0238116822,0.0286612775,34596.5
PEGO NEGRO,92,0.0221454065,0.0261678995,23060.8166666667
BR. CEDRO,92,0.0227223576,0.0271489614,40227
TORRES,92,0.0251091355,0.0325892667,58652.7666666667
ABELHEIRA,92,0.0200649384,0.0235006091,1582
ALTO DA MAIA,92,0.0187366994,0.0224379176,63933
MATOSINHOS (IGREJA),92,0.0256828108,0.03325401,4639
AZEVEDO,92,0.0221488764,0.0261697993,6308
S.TA JUSTA,92,0.0205789797,0.0248529174,42534.3636363636
BONFIM,91,0.0216269623,0.0269205578,19933.55
BONFIM,91,0.0216189522,0.0263087014,18396.55
LAGARTEIRO,91,0.0226361978,0.0268938952,41565.2833333333
SAMPAIO,91,0.0193635582,0.0234316963,49219
ANTÓNIO COELHO,91,0.0209968158,0.0255217988,42573.3636363636
JOAQUIM ALVES DA SILVA,91,0.0244064857,0.0287720573,61770
JACINTO NUNES,91,0.0257171763,0.0330366421,73605.2990196079
GODINHO,91,0.0263545151,0.0347480191,119659.647619048
PADRE LUIS CABRAL,91,0.0257478475,0.0340193922,58691.7666666667
LOTA,91,0.0263571596,0.0347750225,39374.0349206349
QUINTA BELA VISTA,91,0.0244253541,0.0293257031,0
R.CRISTAL,91,0.0189436738,0.0219317602,10965
PRAIA DE GONDARÉM,91,0.0251091355,0.0317732673,7743.75
AV.LIDADOR DA MAIA,91,0.0190852174,0.0229651386,63972
BR.CERCO PORTO,91,0.0226355476,0.0268929675,23099.8166666667
AREOSA (FEIRA),91,0.0202758337,0.0246109582,82178.75
MATOSINHOS MERCADO,91,0.0243146088,0.0286749338,37221.2333333333
LINHARES,91,0.0204749779,0.0240363677,64325
RIBEIRO,91,0.0204628407,0.0240149106,3162
